ticker,year,chatgpt_language_index,chatgpt_index_pros,chatgpt_index_cons,rating,review_count,word_count_pros,word_count_cons,POST_CHATGPT,index_quartile
ALX,2020,0.0,0.0,0.0,5.0,1,3,2,0,Q1 (Low)
ALX,2021,0.0,0.0,0.0,4.0,4,15,14,0,Q1 (Low)
ALX,2024,0.0373534778217841,0.0747069556435683,0.0,4.0,4,31,24,1,Q2
AMH,2014,0.0052838761303659,0.0,0.0105677522607318,1.9375,16,192,377,0,Q1 (Low)
AMH,2015,0.031531609319476,0.0479065348258697,0.0151566838130823,2.672131147540984,60,913,1840,0,Q2
AMH,2016,0.0433091933345032,0.0519187703728202,0.0346996162961861,2.75,39,657,1686,0,Q2
AMH,2017,0.0531941704614435,0.0654376496835923,0.0409506912392947,3.3703703703703702,54,782,881,0,Q3
AMH,2018,0.0821375163739491,0.0854189872143387,0.0788560455335595,4.013698630136986,72,1174,934,0,Q4 (High)
AMH,2019,0.0623239239455366,0.0573907232946523,0.0672571245964209,3.5531914893617023,46,726,624,0,Q3
AMH,2020,0.0480974135330087,0.0505471678464406,0.0456476592195769,3.365853658536585,41,552,492,0,Q3
AMH,2021,0.0416189523210309,0.0398537710689791,0.0433841335730828,3.542372881355932,57,642,978,0,Q2
AMH,2022,0.0406291344015316,0.0458368704086205,0.0354213983944426,3.636363636363636,88,973,1131,0,Q2
AMH,2023,0.048719345599115,0.0569585513400457,0.0404801398581843,3.219178082191781,71,601,1060,1,Q3
AMH,2024,0.0648622703321031,0.0474804245700441,0.0822441160941622,3.1724137931034484,58,403,774,1,Q4 (High)
AMH,2025,0.0524401003986688,0.059841862872532,0.0450383379248056,2.805555555555556,34,230,593,1,Q3
AMT,2014,0.033865642829629,0.0346314380820186,0.0330998475772394,2.8260869565217392,23,271,1254,0,Q2
AMT,2015,0.0369340083167312,0.0379262665352966,0.0359417500981658,2.9649122807017543,57,713,1421,0,Q2
AMT,2016,0.0674832968726402,0.0642321826604104,0.0707344110848701,3.096774193548387,60,643,818,0,Q4 (High)
AMT,2017,0.0569749074611656,0.0593619231869058,0.0545878917354253,3.4444444444444446,53,507,618,0,Q3
AMT,2018,0.0517894784675846,0.055019067110532,0.0485598898246372,3.0576923076923075,52,538,822,0,Q3
AMT,2019,0.0329445511041407,0.0294583515523739,0.0364307506559074,3.1296296296296298,53,1055,1378,0,Q2
AMT,2020,0.0211006080937771,0.0188731268128634,0.0233280893746909,3.5660377358490565,52,381,888,0,Q2
AMT,2021,0.0557594465729657,0.0654125689512646,0.0461063241946669,3.588235294117647,98,771,985,0,Q3
AMT,2022,0.0533221625066072,0.0606078993118019,0.0460364257014125,3.763440860215054,88,573,985,0,Q3
AMT,2023,0.0508441137236627,0.0741125068797551,0.0275757205675702,3.746835443037975,77,643,1113,1,Q3
AMT,2024,0.0533354708599057,0.0653693182370416,0.0413016234827699,3.6885245901639343,58,399,521,1,Q3
AMT,2025,0.0722539079568792,0.0609115210246484,0.0835962948891099,3.5135135135135136,36,258,546,1,Q4 (High)
AOMR,2020,0.0920456074027879,0.1059727324076166,0.0781184823979592,3.333333333333333,3,23,51,0,Q4 (High)
AOMR,2021,0.0420236697478479,0.0840473394956959,0.0,3.555555555555556,9,58,58,0,Q2
AOMR,2022,0.083124356679524,0.0791256588016532,0.0871230545573948,3.2857142857142856,14,80,189,0,Q4 (High)
AOMR,2023,0.0096700063162522,0.0,0.0193400126325044,2.333333333333333,2,37,206,1,Q1 (Low)
AOMR,2024,0.0,0.0,0.0,4.0,3,26,27,1,Q1 (Low)
AOMR,2025,0.0,0.0,0.0,3.0,1,4,6,1,Q1 (Low)
APLE,2015,0.1010290792864613,0.0,0.2020581585729226,4.666666666666667,3,24,22,0,Q4 (High)
APLE,2016,0.0,0.0,0.0,3.0,1,2,2,0,Q1 (Low)
APLE,2017,0.0,0.0,0.0,3.0,1,9,11,0,Q1 (Low)
APLE,2020,0.5941610587907253,1.188322117581451,0.0,3.0,1,4,10,0,Q4 (High)
APLE,2021,0.1102816964262199,0.2205633928524399,0.0,4.666666666666667,3,21,11,0,Q4 (High)
APLE,2022,0.0,0.0,0.0,3.0,1,7,8,0,Q1 (Low)
APLE,2023,0.0578978906237654,0.1157957812475309,0.0,3.0,2,20,13,1,Q3
APLE,2024,0.0,0.0,0.0,5.0,1,12,3,1,Q1 (Low)
ARE,2014,0.0,0.0,0.0,4.0,1,6,6,0,Q1 (Low)
ARE,2015,0.0503459918467525,0.1006919836935051,0.0,4.5,2,23,13,0,Q3
ARE,2016,0.0355778857627104,0.0392834307070536,0.0318723408183673,4.125,7,338,125,0,Q2
ARE,2017,0.0293412868538629,0.0586825737077259,0.0,4.5,4,81,19,0,Q2
ARE,2018,0.0157924175477111,0.0315848350954223,0.0,4.125,8,382,102,0,Q2
ARE,2019,0.0398252054455884,0.0146388759481992,0.0650115349429776,3.1666666666666665,6,333,384,0,Q2
ARE,2020,0.0731534077004436,0.0,0.1463068154008873,3.0,2,22,35,0,Q4 (High)
ARE,2021,0.0321089057541662,0.0337112657469915,0.030506545761341,3.75,8,141,285,0,Q2
ARE,2022,0.0449768983968993,0.0378748085284924,0.0520789882653061,4.333333333333333,12,251,153,0,Q3
ARE,2023,0.1157957812475309,0.2315915624950619,0.0,4.0,2,10,11,1,Q4 (High)
ARE,2024,0.0484192061320302,0.0968384122640605,0.0,4.8,5,73,50,1,Q3
ARE,2025,0.0,0.0,0.0,1.0,1,4,3,1,Q1 (Low)
BDN,2014,0.0771949438304161,0.1543898876608323,0.0,3.6666666666666665,3,26,21,0,Q4 (High)
BDN,2015,0.0506384599697252,0.1012769199394505,0.0,4.666666666666667,6,71,55,0,Q3
BDN,2016,0.0,0.0,0.0,4.0,2,15,11,0,Q1 (Low)
BDN,2017,0.0241241210932356,0.0482482421864712,0.0,4.4,5,48,39,0,Q2
BDN,2018,0.0,0.0,0.0,4.0,3,23,61,0,Q1 (Low)
BDN,2019,0.0,0.0,0.0,4.333333333333333,3,23,16,0,Q1 (Low)
BDN,2020,0.1093035282847702,0.163424120811386,0.0551829357581544,3.5,4,44,77,0,Q4 (High)
BDN,2021,0.0,0.0,0.0,4.666666666666667,3,13,13,0,Q1 (Low)
BDN,2022,0.0,0.0,0.0,3.5,6,55,72,0,Q1 (Low)
BDN,2023,0.0,0.0,0.0,3.8,5,43,155,1,Q1 (Low)
BDN,2024,0.1215522513766793,0.0593824519218107,0.183722050831548,4.25,8,39,51,1,Q4 (High)
BDN,2025,0.0,0.0,0.0,2.333333333333333,3,18,61,1,Q1 (Low)
BFS,2016,0.1062271513344472,0.0,0.2124543026688945,1.0,1,6,20,0,Q4 (High)
BFS,2022,0.0,0.0,0.0,3.0,1,13,8,0,Q1 (Low)
BFS,2025,0.4062288075625305,0.812457615125061,0.0,5.0,1,3,6,1,Q4 (High)
BNL,2019,0.0,0.0,0.0,5.0,1,7,5,0,Q1 (Low)
BNL,2022,0.1254417837244262,0.2508835674488525,0.0,5.0,3,16,9,0,Q4 (High)
BNL,2024,0.0,0.0,0.0,3.6666666666666665,3,25,9,1,Q1 (Low)
BNL,2025,0.0,0.0,0.0,5.0,1,4,3,1,Q1 (Low)
BRG,2021,0.0251729959233762,0.0503459918467525,0.0,4.333333333333333,3,46,22,0,Q2
BRG,2022,0.0,0.0,0.0,2.0,1,7,23,0,Q1 (Low)
BRSP,2025,0.0,0.0,0.0,5.0,1,26,10,1,Q1 (Low)
BRX,2014,0.0875864750603597,0.0,0.1751729501207194,2.7142857142857144,7,51,47,0,Q4 (High)
BRX,2015,0.083397205034042,0.0930158433589002,0.0737785667091837,4.166666666666667,6,76,54,0,Q4 (High)
BRX,2016,0.0519794418770325,0.103958883754065,0.0,3.2222222222222223,9,68,48,0,Q3
BRX,2017,0.0347298499705842,0.0232130747178588,0.0462466252233095,3.0,11,105,188,0,Q2
BRX,2018,0.0658231560258366,0.0464261494357177,0.0852201626159555,2.4,10,105,187,0,Q4 (High)
BRX,2019,0.0746516223347063,0.0691318097000184,0.0801714349693941,4.4,5,67,53,0,Q4 (High)
BRX,2020,0.0,0.0,0.0,3.272727272727273,11,95,104,0,Q1 (Low)
BRX,2021,0.1009082157286375,0.1231296526910178,0.0786867787662572,4.0,12,91,54,0,Q4 (High)
BRX,2022,0.0543634336010876,0.0844463754685873,0.0242804917335879,3.882352941176471,17,140,175,0,Q3
BRX,2023,0.0585173575722469,0.1170347151444938,0.0,3.7142857142857135,14,129,146,1,Q3
BRX,2024,0.1084921896977407,0.0715054269319875,0.1454789524634939,4.2631578947368425,19,155,121,1,Q4 (High)
BRX,2025,0.06930592250271,0.13861184500542,0.0,3.875,6,51,31,1,Q4 (High)
BXP,2014,0.0681947750122695,0.0733996104268746,0.0629899395976644,3.5,12,151,212,0,Q4 (High)
BXP,2015,0.0809762544639374,0.0922886899948152,0.0696638189330596,3.5,9,95,121,0,Q4 (High)
BXP,2016,0.0407525887558812,0.0269292514529141,0.0545759260588482,4.222222222222222,9,86,73,0,Q2
BXP,2017,0.0787930332976714,0.1082712003195064,0.0493148662758365,3.857142857142857,12,126,190,0,Q4 (High)
BXP,2018,0.0183567646462645,0.0210537784086419,0.015659750883887,3.5,8,110,327,0,Q2
BXP,2019,0.0444840729427914,0.0436081511039064,0.0453599947816765,3.888888888888889,9,109,98,0,Q3
BXP,2020,0.0349506505171014,0.0699013010342029,0.0,4.111111111111111,9,68,49,0,Q2
BXP,2021,0.0661285687716677,0.069351748805274,0.0629053887380613,3.925925925925926,26,267,268,0,Q4 (High)
BXP,2022,0.090084328785364,0.040622880756253,0.139545776814475,3.684210526315789,16,120,158,0,Q4 (High)
BXP,2023,0.0740107326548215,0.0566193804385904,0.0914020848710526,3.615384615384616,13,127,149,1,Q4 (High)
BXP,2024,0.0176241698914239,0.0352483397828479,0.0,4.05,18,204,310,1,Q2
BXP,2025,0.0853009615722149,0.1425452851000923,0.0280566380443374,4.153846153846154,12,94,142,1,Q4 (High)
CBL,2014,0.0800384022305263,0.1055008784022043,0.0545759260588482,2.5,6,60,219,0,Q4 (High)
CBL,2015,0.0268929497049233,0.0,0.0537858994098467,2.6666666666666665,3,19,79,0,Q2
CBL,2016,0.0661068706050684,0.0836278558162841,0.0485858853938527,3.25,8,48,82,0,Q4 (High)
CBL,2017,0.0199202130114796,0.0,0.0398404260229592,3.5,8,66,100,0,Q2
CBL,2018,0.031724871574666,0.063449743149332,0.0,3.363636363636364,11,73,91,0,Q2
CBL,2019,0.015236287006254,0.0304725740125081,0.0,3.8,5,76,100,0,Q2
CBL,2020,0.0,0.0,0.0,3.5,3,24,25,0,Q1 (Low)
CBL,2021,0.1203220476952184,0.2406440953904369,0.0,3.1666666666666665,6,39,61,0,Q4 (High)
CBL,2022,0.0281734988393499,0.0246374002654321,0.0317095974132678,3.9166666666666665,11,94,134,0,Q2
CBL,2023,0.160003721903715,0.2219940074303608,0.0980134363770692,3.875,8,62,84,1,Q4 (High)
CBL,2024,0.0514937925079264,0.1029875850158528,0.0,3.6666666666666665,8,71,41,1,Q3
CBL,2025,0.0132947609747737,0.0265895219495474,0.0,4.25,4,275,28,1,Q1 (Low)
CCI,2014,0.0592575721402238,0.0543512798416645,0.0641638644387831,3.4545454545454546,11,251,388,0,Q3
CCI,2015,0.049972823313878,0.0598099080134419,0.0401357386143141,3.3,10,222,311,0,Q3
CCI,2016,0.0378774281582644,0.0504704090531388,0.02528444726339,2.9375,16,321,659,0,Q2
CCI,2017,0.075975996585885,0.0901966864636709,0.0617553067080991,3.333333333333333,17,308,470,0,Q4 (High)
CCI,2018,0.0339562676603246,0.0276346127593558,0.0402779225612935,3.15,20,441,762,0,Q2
CCI,2019,0.0294489588088225,0.0292140605483083,0.0296838570693366,3.235294117647059,51,1239,2237,0,Q2
CCI,2020,0.0257160153028453,0.0273350225649553,0.0240970080407353,2.869565217391304,23,535,1003,0,Q2
CCI,2021,0.0283679857804169,0.0253192299848626,0.0314167415759713,2.4782608695652173,23,284,1285,0,Q2
CCI,2022,0.033517259321236,0.0428098558638952,0.0242246627785768,2.6785714285714284,28,279,1195,0,Q2
CCI,2023,0.0491435475759009,0.0490072253639516,0.0492798697878501,3.3112582781456954,144,1136,2175,1,Q3
CCI,2024,0.0502992231164178,0.0653938446800166,0.035204601552819,3.1619718309859155,137,1036,1645,1,Q3
CCI,2025,0.0571211300679503,0.0563022846923465,0.057939975443554,3.55,76,580,844,1,Q3
CDP,2016,0.0,0.0,0.0,4.0,4,31,58,0,Q1 (Low)
CDP,2017,0.0635320691993293,0.1270641383986586,0.0,3.75,4,69,26,0,Q4 (High)
CDP,2018,0.0774117157998955,0.0926366249980247,0.0621868066017663,2.333333333333333,3,25,219,0,Q4 (High)
CDP,2019,0.0,0.0,0.0,4.0,2,22,16,0,Q1 (Low)
CDP,2020,0.0,0.0,0.0,1.0,1,9,58,0,Q1 (Low)
CDP,2021,0.0,0.0,0.0,4.0,4,35,40,0,Q1 (Low)
CDP,2022,0.0,0.0,0.0,3.5454545454545454,10,75,112,0,Q1 (Low)
CDP,2023,0.0458012501675016,0.0570275018390293,0.0345749984959739,2.4545454545454546,11,111,271,1,Q3
CDP,2025,0.11992652711488,0.163424120811386,0.076428933418374,3.571428571428572,7,44,67,1,Q4 (High)
CLDT,2015,0.0,0.0,0.0,2.0,1,5,4,0,Q1 (Low)
CLDT,2019,0.0,0.0,0.0,3.0,1,16,2,0,Q1 (Low)
CLDT,2021,0.0,0.0,0.0,4.0,1,5,6,0,Q1 (Low)
COLD,2014,0.0236732958315173,0.0336449289747233,0.0137016626883114,2.435897435897436,39,355,911,0,Q2
COLD,2015,0.0558221108993838,0.0658335452294648,0.0458106765693029,2.859375,60,655,974,0,Q3
COLD,2016,0.0276319113215957,0.0307440466762147,0.0245197759669766,2.7794117647058822,65,749,1167,0,Q2
COLD,2017,0.0367239641963191,0.0343738198916688,0.0390741085009693,2.388888888888889,66,599,938,0,Q2
COLD,2018,0.0382012036780759,0.0169044936127782,0.0594979137433736,2.8461538461538463,51,411,567,0,Q2
COLD,2019,0.037820679792162,0.043432544676461,0.0322088149078631,2.888888888888889,36,275,297,0,Q2
COLD,2020,0.034720742872563,0.0521812579554534,0.0172602277896725,2.9814814814814814,53,287,477,0,Q2
COLD,2021,0.038216112867938,0.0441872766165745,0.0322449491193015,3.1214285714285714,131,753,1112,0,Q2
COLD,2022,0.03900109849511,0.047655662606818,0.030346534383402,3.132530120481928,157,1015,1492,0,Q2
COLD,2023,0.0388889093785552,0.0252558860211602,0.0525219327359501,3.2058823529411766,130,979,1890,1,Q2
COLD,2024,0.0500453166939693,0.079645856096321,0.0204447772916176,3.1238938053097347,107,667,861,1,Q3
COLD,2025,0.0469003892920571,0.0628439581413267,0.0309568204427876,2.9450549450549453,86,832,1000,1,Q3
CPT,2014,0.0346602774075562,0.0489412452065854,0.020379309608527,3.5,18,306,417,0,Q2
CPT,2015,0.0504272194210767,0.0431371000610077,0.0577173387811458,3.945945945945946,37,576,651,0,Q3
CPT,2016,0.0452891827030003,0.0502900667727758,0.0402882986332247,3.7222222222222223,35,659,824,0,Q3
CPT,2017,0.0644815174135065,0.0469664819398046,0.0819965528872083,3.7818181818181817,55,773,907,0,Q4 (High)
CPT,2018,0.0463031975960972,0.0641913781546618,0.0284150170375325,4.059701492537314,67,1103,1131,0,Q3
CPT,2019,0.0367860729064969,0.0355470527201059,0.038025093092888,4.482352941176471,85,1707,1072,0,Q2
CPT,2020,0.0535268635095766,0.0393841764245739,0.0676695505945792,4.597222222222222,71,1420,730,0,Q3
CPT,2021,0.0482826705245564,0.0538959263522888,0.042669414696824,4.2993630573248405,156,2618,2112,0,Q3
CPT,2022,0.059510512057306,0.0742822715163712,0.0447387525982408,4.12987012987013,76,843,1060,0,Q3
CPT,2023,0.0528700870754595,0.0521841559213697,0.0535560182295492,4.384,125,1562,1358,1,Q3
CPT,2024,0.0710078865642404,0.0617382096390058,0.080277563489475,4.358974358974359,114,1709,1800,1,Q4 (High)
CPT,2025,0.0525690846036831,0.0647586115189122,0.0403795576884541,4.375,64,937,1156,1,Q3
CSR,2014,0.0,0.0,0.0,2.0,1,10,45,0,Q1 (Low)
CSR,2015,0.0728436354962814,0.0551408482131099,0.0905464227794528,3.25,4,42,44,0,Q4 (High)
CSR,2016,0.0,0.0,0.0,4.285714285714286,7,92,55,0,Q1 (Low)
CSR,2017,0.0416577064056655,0.0,0.0833154128113311,4.333333333333333,2,32,51,0,Q2
CSR,2018,0.0436105082945834,0.0389229516798423,0.0482980649093244,3.333333333333333,6,119,194,0,Q2
CSR,2019,0.0877628204008675,0.0565867675038785,0.1189388732978565,3.4,5,84,148,0,Q4 (High)
CSR,2020,0.048585549430412,0.0971710988608241,0.0,4.2,10,148,118,0,Q3
CSR,2021,0.0257468962539632,0.0514937925079264,0.0,4.0,7,142,51,0,Q2
CSR,2022,0.0364698263677127,0.0729396527354255,0.0,3.5625,15,132,256,0,Q2
CSR,2023,0.0963316136698382,0.1251917964799374,0.0674714308597389,3.7,10,108,185,1,Q4 (High)
CSR,2024,0.0,0.0,0.0,4.6,5,30,24,1,Q1 (Low)
CSR,2025,0.0570021993426344,0.0709729823908903,0.0430314162943786,3.6666666666666665,3,170,119,1,Q3
CUBE,2014,0.0645028712334788,0.0690550851991156,0.0599506572678419,2.4761904761904763,21,321,814,0,Q4 (High)
CUBE,2015,0.027157104327639,0.0156899962522349,0.0386242124030431,2.857142857142857,55,854,2785,0,Q2
CUBE,2016,0.0440210931008264,0.0238535417473514,0.0641886444543013,2.955555555555556,43,761,1262,0,Q3
CUBE,2017,0.0359947097833166,0.0321893124401295,0.0398001071265038,3.05,40,443,1146,0,Q2
CUBE,2018,0.0471785372723384,0.0540650961247309,0.0402919784199459,3.6,34,338,519,0,Q3
CUBE,2019,0.0485593419784517,0.0272973009195731,0.0698213830373303,3.355555555555556,43,442,719,0,Q3
CUBE,2020,0.0683081496778916,0.0699226422278258,0.0666936571279575,3.2363636363636363,54,535,714,0,Q4 (High)
CUBE,2021,0.049071138187191,0.0461000836930163,0.0520421926813656,3.274336283185841,111,827,1431,0,Q3
CUBE,2022,0.058025990614151,0.0512446761532696,0.0648073050750323,3.2,81,730,1404,0,Q3
CUBE,2023,0.0384888587605158,0.0550831453741326,0.0218945721468991,3.6236559139784954,91,929,1116,1,Q2
CUBE,2024,0.0486049809726572,0.0380735989817589,0.0591363629635556,3.24,73,608,1303,1,Q3
CUBE,2025,0.030085765265039,0.0167369312335415,0.0434345992965366,3.085714285714286,33,284,497,1,Q2
CUZ,2015,0.0844097327611509,0.0625923141878545,0.1062271513344472,3.0,3,37,40,0,Q4 (High)
CUZ,2016,0.0,0.0,0.0,3.5,2,15,43,0,Q1 (Low)
CUZ,2017,0.0,0.0,0.0,4.5,2,37,28,0,Q1 (Low)
CUZ,2018,0.1847428718859952,0.0,0.3694857437719905,5.0,3,52,23,0,Q4 (High)
CUZ,2019,0.0643309895819616,0.1286619791639232,0.0,3.6666666666666665,3,18,17,0,Q4 (High)
CUZ,2020,0.0181584874075978,0.0,0.0363169748151956,2.0,3,24,117,0,Q2
CUZ,2021,0.0963690629216311,0.0580326867946472,0.1347054390486151,3.8333333333333335,5,42,33,0,Q4 (High)
CUZ,2022,0.0236317920913328,0.0472635841826656,0.0,3.571428571428572,7,49,93,0,Q2
CUZ,2023,0.0,0.0,0.0,3.857142857142857,6,45,26,1,Q1 (Low)
CUZ,2024,0.1171396026064975,0.0696392241535766,0.1646399810594184,4.666666666666667,5,35,27,1,Q4 (High)
CUZ,2025,0.0,0.0,0.0,4.5,4,26,13,1,Q1 (Low)
DEA,2022,0.1157957812475309,0.2315915624950619,0.0,5.0,1,10,6,0,Q4 (High)
DEA,2025,0.1523358028359489,0.3046716056718979,0.0,2.0,2,8,19,1,Q4 (High)
DLR,2024,0.0526436897644308,0.0690608564372692,0.0362265230915924,3.789473684210526,18,210,240,1,Q3
DLR,2025,0.0523724812171559,0.0556234262950604,0.0491215361392513,3.5161290322580645,30,298,350,1,Q3
DOC,2014,0.0,0.0,0.0,3.0,2,20,23,0,Q1 (Low)
DOC,2017,0.0241241210932356,0.0482482421864712,0.0,4.333333333333333,3,48,29,0,Q2
DOC,2018,0.057916391927569,0.0514868136955944,0.0643459701595436,4.5,4,187,131,0,Q3
DOC,2020,0.1019235091496461,0.0753295149994237,0.1285175032998684,4.142857142857143,7,118,31,0,Q4 (High)
DOC,2021,0.0,0.0,0.0,3.0,3,17,25,0,Q1 (Low)
DOC,2022,0.1221375574703048,0.0482482421864712,0.1960268727541384,4.25,4,48,42,0,Q4 (High)
DOC,2023,0.0,0.0,0.0,3.2,5,61,60,1,Q1 (Low)
DOC,2024,0.0609343211343795,0.1218686422687591,0.0,3.75,4,40,25,1,Q3
DOC,2025,0.0198160393932941,0.0396320787865883,0.0,4.0,5,123,42,1,Q2
DRH,2015,0.0,0.0,0.0,5.0,1,12,7,0,Q1 (Low)
DRH,2016,0.0136374421544988,0.0272748843089976,0.0,5.0,3,353,89,0,Q1 (Low)
DRH,2024,0.0,0.0,0.0,5.0,1,20,11,1,Q1 (Low)
DRH,2025,0.0,0.0,0.0,5.0,1,13,6,1,Q1 (Low)
DX,2020,0.3632573932313672,0.1447447265594137,0.5817700599033208,5.0,1,16,21,0,Q4 (High)
DX,2022,0.0,0.0,0.0,5.0,1,3,3,0,Q1 (Low)
EGP,2014,0.0,0.0,0.0,5.0,2,10,10,0,Q1 (Low)
EGP,2015,0.0,0.0,0.0,4.666666666666667,6,94,76,0,Q1 (Low)
EGP,2022,0.1447447265594137,0.2894894531188274,0.0,4.0,4,16,14,0,Q4 (High)
EGP,2023,0.0,0.0,0.0,4.0,2,10,10,1,Q1 (Low)
EGP,2024,0.0,0.0,0.0,5.0,2,8,4,1,Q1 (Low)
ELME,2014,0.0490198877240543,0.0289489453118827,0.0690908301362258,2.25,4,80,123,0,Q3
ELME,2015,0.0,0.0,0.0,3.0,1,5,4,0,Q1 (Low)
ELME,2016,0.1052688920432099,0.2105377840864199,0.0,3.0,2,11,28,0,Q4 (High)
ELME,2018,0.1600230793447205,0.0,0.3200461586894411,2.5,2,11,16,0,Q4 (High)
ELME,2019,0.3830988600809786,0.2105377840864199,0.5556599360755373,3.5,2,11,8,0,Q4 (High)
ELME,2020,0.040116809004484,0.080233618008968,0.0,4.75,4,120,37,0,Q2
ELME,2021,0.0,0.0,0.0,4.0,1,10,8,0,Q1 (Low)
ELME,2022,0.0,0.0,0.0,3.75,3,25,20,0,Q1 (Low)
