ticker,year,genai_productivity_index,mnir_score_pros,mnir_score_cons,genai_intensity,rating,review_count,word_count_pros,word_count_cons,post_chatgpt,index_quartile
ADC,2021,-0.0121758353215853,-0.0095803218974199,-0.0147713487457506,0.0,3.0,2,10,33,0,Q4 (High)
ADC,2022,0.0445310788891013,0.0839804625051613,0.0050816952730412,0.0217391304347826,1.5,2,23,150,0,Q4 (High)
ADC,2023,-0.0169943207957809,-0.042106352852231,0.008117711260669,0.0,4.0,1,7,13,1,Q3
ADC,2024,-0.1082266848165888,-0.0284186085066209,-0.1880347611265568,0.0,5.0,1,3,4,1,Q1 (Low)
ADC,2025,-0.0392710781746796,0.0244456815120587,-0.1029878378614181,0.0,5.0,1,44,5,1,Q3
AHH,2016,-0.0201860345056017,-0.0175964056699823,-0.0227756633412211,0.0,4.0,2,24,30,0,Q3
AHH,2017,-0.078637482936835,-0.1725798988428241,0.0153049329691541,0.0,3.6666666666666665,3,45,33,0,Q1 (Low)
AHH,2018,0.0037024602964005,0.0,0.007404920592801,0.0,1.0,1,3,25,0,Q4 (High)
AHH,2019,-0.3420923839449679,-0.4117162500138723,-0.2724685178760636,0.0,5.0,1,6,7,0,Q1 (Low)
AHH,2020,-0.0090341423201076,0.0673084198426101,-0.0853767044828254,0.0,2.0,1,4,56,0,Q4 (High)
AHH,2021,-0.0731597154631189,-0.0481815167686569,-0.098137914157581,0.0161290322580645,3.0,2,31,6,0,Q2
AHH,2022,0.0150350190725,-0.02211722577047,0.0521872639154701,0.0158730158730158,4.75,4,63,13,0,Q4 (High)
AHH,2023,-0.0254429839356265,-0.021902725658944,-0.028983242212309,0.0147169811320754,3.5,8,50,106,1,Q3
AHH,2024,0.0137403872063339,-0.0038105722426808,0.0312913466553486,0.0106382978723404,4.375,7,47,30,1,Q4 (High)
AHR,2022,-0.0382830639629349,0.0114142832525303,-0.0879804111784001,0.0,4.5,2,7,9,0,Q3
AHR,2023,0.0239017432464329,0.0478034864928658,0.0,0.0,5.0,1,5,4,1,Q4 (High)
AHR,2024,0.1247770581859319,0.1432221293073978,0.1063319870644659,0.0741758241758241,4.0,2,13,14,1,Q4 (High)
AHR,2025,-0.0692686832461741,-0.1420264897063875,0.0034891232140392,0.0,5.0,2,118,20,1,Q2
AHT,2015,-0.0513213440240978,-0.0854224709572636,-0.0172202170909319,0.0,4.5,2,30,30,0,Q2
AHT,2016,0.0277391051118375,0.0375880749963343,0.0178901352273407,0.0,3.0,2,9,10,0,Q4 (High)
AHT,2017,-0.0501039304285619,-0.0734593503546883,-0.0267485105024355,0.0,3.0,1,8,8,0,Q2
AHT,2020,0.0282289255259258,0.0564578510518517,0.0,0.0,3.0,1,5,4,0,Q4 (High)
AHT,2021,-0.0086011090230894,-0.0012363327070105,-0.0159658853391684,0.0172413793103448,4.0,6,29,40,0,Q4 (High)
AHT,2022,-0.0606818970325364,-0.0667547208960118,-0.054609073169061,0.0,4.333333333333333,3,25,16,0,Q2
AHT,2023,-0.1833141374379802,-0.0284186085066209,-0.3382096663693396,0.0,4.0,1,3,5,1,Q1 (Low)
AHT,2024,-0.0468462254697945,-0.0460138715968436,-0.0476785793427455,0.0051546391752577,4.0,4,25,194,1,Q2
AHT,2025,-0.0730935101943316,-0.0882537348275069,-0.0579332855611564,0.0,4.0,1,3,4,1,Q2
ALEX,2014,0.0043412180171125,0.0136961885761393,-0.0050137525419142,0.0,2.0,1,14,8,0,Q4 (High)
ALEX,2015,0.0880336023441659,0.0663567071086542,0.1097104975796776,0.05,5.0,1,10,4,0,Q4 (High)
ALEX,2020,-0.0663973926050185,-0.0778502068389438,-0.0549445783710931,0.0,5.0,1,42,13,0,Q2
ALEX,2021,-0.053983619559032,-0.0584399860337581,-0.049527253084306,0.025,3.5,2,20,13,0,Q2
ALEX,2023,-0.3172523222216218,-0.2976456179366376,-0.3368590265066061,0.0,5.0,1,10,6,1,Q1 (Low)
ALX,2020,-0.2431401146344075,-0.4862802292688151,0.0,0.0,5.0,1,3,2,0,Q1 (Low)
ALX,2021,-0.0502192437622982,-0.1119039369859191,0.0114654494613227,0.0,4.0,4,15,14,0,Q2
ALX,2024,-0.1443609632004633,-0.0751035545919156,-0.213618371809011,0.0,4.0,4,31,24,1,Q1 (Low)
AMH,2014,-0.0592309760239128,-0.0558045666162902,-0.0626573854315353,0.0026041666666666,1.9375,16,192,377,0,Q2
AMH,2015,-0.0668141476535015,-0.0530694896855079,-0.0805588056214951,0.0021905805038335,2.672131147540984,60,913,1840,0,Q2
AMH,2016,-0.0748496730860648,-0.0715870455522136,-0.0781123006199159,0.0016507147229128,2.75,39,657,1686,0,Q2
AMH,2017,-0.0748946394282235,-0.0782314696683347,-0.0715578091881122,0.0024856954576727,3.3703703703703702,54,782,881,0,Q2
AMH,2018,-0.0781089566084845,-0.0855272026229631,-0.0706907105940059,0.0022389094185584,4.013698630136986,72,1174,934,0,Q1 (Low)
AMH,2019,-0.0832555109381651,-0.0828217205916707,-0.0836893012846596,0.0028673977537613,3.5531914893617023,46,726,624,0,Q1 (Low)
AMH,2020,-0.0751861039936826,-0.0894111237613929,-0.0609610842259724,0.0039545775892541,3.365853658536585,41,552,492,0,Q2
AMH,2021,-0.0691965906773899,-0.0764062797473007,-0.0619869016074792,0.0012900636431397,3.542372881355932,57,642,978,0,Q2
AMH,2022,-0.0820011223146484,-0.0852062331626115,-0.0787960114666852,0.000513874614594,3.636363636363636,88,973,1131,0,Q1 (Low)
AMH,2023,-0.0581611235237285,-0.0556145261697575,-0.0607077208776995,0.0037994851348381,3.219178082191781,71,601,1060,1,Q2
AMH,2024,-0.0563511216863663,-0.0494886709243958,-0.0632135724483369,0.006306063695411,3.1724137931034484,58,403,774,1,Q2
AMH,2025,-0.0862290724342678,-0.0773264533481554,-0.0951316915203803,0.0,2.805555555555556,34,230,593,1,Q1 (Low)
AMT,2014,0.0075455615420086,0.003438521134685,0.0116526019493322,0.0163550439332144,2.8260869565217392,23,271,1254,0,Q4 (High)
AMT,2015,-0.0278154458238348,-0.0408136889236523,-0.0148172027240172,0.0059668980519615,2.9649122807017543,57,713,1421,0,Q3
AMT,2016,-0.0104608570642604,-0.0054692201042144,-0.0154524940243064,0.0043329137942179,3.096774193548387,60,643,818,0,Q4 (High)
AMT,2017,0.0043376405482271,-0.0003785477346635,0.0090538288311178,0.0075352827406598,3.4444444444444446,53,507,618,0,Q4 (High)
AMT,2018,0.0028332722104874,-0.0066457986316986,0.0123123430526735,0.0027541855479879,3.0576923076923075,52,538,822,0,Q4 (High)
AMT,2019,-0.0066990432090159,-0.0132865921849996,-0.0001114942330322,0.0057167816534712,3.1296296296296298,53,1055,1378,0,Q4 (High)
AMT,2020,-0.0217248768880522,-0.0203903798919691,-0.0230593738841353,0.005812406895084,3.5660377358490565,52,381,888,0,Q3
AMT,2021,-0.0051400397604439,-0.0191774229486251,0.0088973434277372,0.0062032958712727,3.588235294117647,98,771,985,0,Q4 (High)
AMT,2022,-0.005278477653237,-0.0081276311091936,-0.0024293241972804,0.0066158166564789,3.763440860215054,88,573,985,0,Q4 (High)
AMT,2023,-0.0046079313451927,-0.0085240209186069,-0.0006918417717785,0.0083461536849253,3.746835443037975,77,643,1113,1,Q4 (High)
AMT,2024,-0.0027983270762312,-0.0017228919462583,-0.0038737622062041,0.0047190913945131,3.6885245901639343,58,399,521,1,Q4 (High)
AMT,2025,-0.0008219731312909,-0.0096530373091599,0.0080090910465781,0.010605673396371,3.5135135135135136,36,258,546,1,Q4 (High)
AOMR,2020,-0.0544501618442105,-0.0576693523006774,-0.0512309713877435,0.0,3.333333333333333,3,23,51,0,Q2
AOMR,2021,0.0001805971898497,-0.0005896031635204,0.0009507975432199,0.0,3.555555555555556,9,58,58,0,Q4 (High)
AOMR,2022,-0.0496620098065937,-0.0642309365285344,-0.0350930830846531,0.00625,3.2857142857142856,14,80,189,0,Q2
AOMR,2023,-0.0527056962081224,-0.0866811931777146,-0.0187301992385303,0.0024271844660194,2.333333333333333,2,37,206,1,Q2
AOMR,2024,-0.0312821542107082,-0.0426461524796628,-0.0199181559417535,0.0,4.0,3,26,27,1,Q3
AOMR,2025,0.0,0.0,0.0,0.0,3.0,1,4,6,1,Q4 (High)
APLE,2015,-0.0078722296212379,-0.0583561527569232,0.0426116935144472,0.0,4.666666666666667,3,24,22,0,Q4 (High)
APLE,2016,0.0705723138148146,0.1411446276296293,0.0,0.0,3.0,1,2,2,0,Q4 (High)
APLE,2017,-0.018073290796061,0.02823386630773,-0.0643804478998522,0.0,3.0,1,9,11,0,Q3
APLE,2020,0.0038696591128764,0.0675226487784484,-0.0597833305526954,0.0,3.0,1,4,10,0,Q4 (High)
APLE,2021,-0.0877680189776906,-0.0398106677475173,-0.1357253702078639,0.0,4.666666666666667,3,21,11,0,Q1 (Low)
APLE,2022,0.1437652675847935,0.1744811940516996,0.1130493411178874,0.0,3.0,1,7,8,0,Q4 (High)
APLE,2023,-0.0724426831527028,-0.1027445860520181,-0.0421407802533876,0.0,3.0,2,20,13,1,Q2
APLE,2024,-0.1265427772495064,-0.2530855544990128,0.0,0.0,5.0,1,12,3,1,Q1 (Low)
ARE,2014,-0.0698314471150392,-0.1064327743467999,-0.0332301198832785,0.0,4.0,1,6,6,0,Q2
ARE,2015,-0.0071521642302019,-0.0731118085486546,0.0588074800882507,0.0,4.5,2,23,13,0,Q4 (High)
ARE,2016,-0.0422007786037494,-0.0683039088594984,-0.0160976483480005,0.0044378698224852,4.125,7,338,125,0,Q3
ARE,2017,-0.0112181237920209,-0.0463506125494312,0.0239143649653893,0.0,4.5,4,81,19,0,Q4 (High)
ARE,2018,-0.0378428068282262,-0.0702357226962355,-0.0054498909602168,0.0,4.125,8,382,102,0,Q3
ARE,2019,-0.0469956280135723,-0.0565616308201831,-0.0374296252069615,0.0015015015015015,3.1666666666666665,6,333,384,0,Q2
ARE,2020,0.002755596082947,-0.0354027842418885,0.0409139764077826,0.0227272727272727,3.0,2,22,35,0,Q4 (High)
ARE,2021,-0.0809826444322613,-0.0922287336741303,-0.0697365551903924,0.0,3.75,8,141,285,0,Q1 (Low)
ARE,2022,-0.0444369395978041,-0.0504555744717171,-0.038418304723891,0.0019920318725099,4.333333333333333,12,251,153,0,Q3
ARE,2023,0.0015330502368086,-0.0451236970654051,0.0481897975390225,0.0,4.0,2,10,11,1,Q4 (High)
ARE,2024,-0.0886429942559931,-0.1237692592639884,-0.0535167292479979,0.0,4.8,5,73,50,1,Q1 (Low)
ARE,2025,-0.1100148028260058,-0.2200296056520116,0.0,0.0,1.0,1,4,3,1,Q1 (Low)
BDN,2014,0.0523184554408047,0.068583208406615,0.0360537024749943,0.0384615384615384,3.6666666666666665,3,26,21,0,Q4 (High)
BDN,2015,-0.0673817163866701,-0.0811557713874593,-0.0536076613858809,0.0,4.666666666666667,6,71,55,0,Q2
BDN,2016,1.865213478026255e-05,-0.0220189773841472,0.0220562816537077,0.0,4.0,2,15,11,0,Q4 (High)
BDN,2017,0.0026981706883274,-0.0218478838539345,0.0272442252305894,0.0232371794871794,4.4,5,48,39,0,Q4 (High)
BDN,2018,-0.0018039971890895,0.0010060432974033,-0.0046140376755824,0.0217391304347826,4.0,3,23,61,0,Q4 (High)
BDN,2019,-0.0118296635052107,-0.0764824037326363,0.0528230767222148,0.03125,4.333333333333333,3,23,16,0,Q4 (High)
BDN,2020,-0.0407432645498086,-0.079565483192428,-0.0019210459071891,0.0,3.5,4,44,77,0,Q3
BDN,2021,-0.047431306708999,-0.0396926556850206,-0.0551699577329775,0.0,4.666666666666667,3,13,13,0,Q2
BDN,2022,-0.0606599405056153,-0.1036237783577532,-0.0176961026534774,0.0,3.5,6,55,72,0,Q2
BDN,2023,-0.0163941620948564,-0.0220912081720154,-0.0106971160176975,0.0032258064516129,3.8,5,43,155,1,Q3
BDN,2024,0.0248814147254295,0.0364257547774226,0.0133370746734364,0.0128205128205128,4.25,8,39,51,1,Q4 (High)
BDN,2025,-0.0042591672349986,0.0179909583002184,-0.0265092927702158,0.0,2.333333333333333,3,18,61,1,Q4 (High)
BFS,2016,-0.0404722823614371,-0.0744749136788548,-0.0064696510440194,0.0,1.0,1,6,20,0,Q3
BFS,2022,-0.0192801659093288,0.0079182340988834,-0.0464785659175411,0.0,3.0,1,13,8,0,Q3
BFS,2025,0.0,0.0,0.0,0.0,5.0,1,3,6,1,Q4 (High)
BNL,2019,-0.0658736013936917,-0.1731883506130412,0.0414411478256576,0.0,5.0,1,7,5,0,Q2
BNL,2022,-0.0106624071849841,0.0183831684843872,-0.0397079828543554,0.0,5.0,3,16,9,0,Q4 (High)
BNL,2024,0.0090575503107964,-0.0743984008577504,0.0925135014793432,0.0,3.6666666666666665,3,25,9,1,Q4 (High)
BNL,2025,-0.1132212717185932,-0.0100043787793061,-0.2164381646578802,0.0,5.0,1,4,3,1,Q1 (Low)
BRG,2021,-0.0209419944512249,-0.0216908391227835,-0.0201931497796664,0.0108695652173913,4.333333333333333,3,46,22,0,Q3
BRG,2022,-0.0970212051231114,-0.0631538013034338,-0.130888608942789,0.0,2.0,1,7,23,0,Q1 (Low)
BRSP,2025,-0.0895260204273255,0.0343850747541975,-0.2134371156088486,0.0,5.0,1,26,10,1,Q1 (Low)
BRX,2014,-0.039191638330719,-0.0440272744838633,-0.0343560021775746,0.0,2.7142857142857144,7,51,47,0,Q3
BRX,2015,-0.0495575776850252,-0.1083869410756388,0.0092717857055883,0.0092592592592592,4.166666666666667,6,76,54,0,Q2
BRX,2016,-0.0152596521310481,-0.0448668190554633,0.0143475147933669,0.0147058823529411,3.2222222222222223,9,68,48,0,Q3
BRX,2017,-0.0679716221206936,-0.0860367732743134,-0.0499064709670739,0.0,3.0,11,105,188,0,Q2
BRX,2018,-0.0615877041321624,-0.0922293338679781,-0.0309460743963467,0.0,2.4,10,105,187,0,Q2
BRX,2019,-0.0491373575462867,-0.1195447479769074,0.0212700328843338,0.0074626865671641,4.4,5,67,53,0,Q2
BRX,2020,-0.0653851922025555,-0.063740061137979,-0.067030323267132,0.0052631578947368,3.272727272727273,11,95,104,0,Q2
BRX,2021,-0.0195434126240132,-0.0299492919152805,-0.009137533332746,0.0,4.0,12,91,54,0,Q3
BRX,2022,-0.0360646931933853,-0.0302483649945973,-0.0418810213921734,0.0035714285714285,3.882352941176471,17,140,175,0,Q3
BRX,2023,-0.0656220231251707,-0.0388730162220437,-0.0923710300282977,0.0,3.7142857142857135,14,129,146,1,Q2
BRX,2024,-0.0329522091722146,-0.045200045883782,-0.0207043724606471,0.0,4.2631578947368425,19,155,121,1,Q3
BRX,2025,-0.0206038523159874,-0.0534518672461449,0.01224416261417,0.0,3.875,6,51,31,1,Q3
BXP,2014,-0.0464671740874505,-0.0554230813209843,-0.0375112668539166,0.0,3.5,12,151,212,0,Q2
BXP,2015,-0.0180362512368711,-0.0032392817583124,-0.0328332207154298,0.0052631578947368,3.5,9,95,121,0,Q3
BXP,2016,0.0342109322449677,0.041689828577261,0.0267320359126744,0.0174418604651162,4.222222222222222,9,86,73,0,Q4 (High)
BXP,2017,-0.0382023250807151,-0.028637429669762,-0.0477672204916682,0.0026315789473684,3.857142857142857,12,126,190,0,Q3
BXP,2018,-0.0093944064482148,-0.0058605432839048,-0.0129282696125248,0.0045454545454545,3.5,8,110,327,0,Q4 (High)
BXP,2019,-0.0149148409323621,0.0064686704027508,-0.0362983522674752,0.0091743119266055,3.888888888888889,9,109,98,0,Q3
BXP,2020,-0.017679668700198,0.0006309379243507,-0.0359902753247468,0.0073529411764705,4.111111111111111,9,68,49,0,Q3
BXP,2021,-0.0188566241499648,-0.029509292087317,-0.0082039562126126,0.0037453183520599,3.925925925925926,26,267,268,0,Q3
BXP,2022,-0.0059379069958433,-0.0173192112891366,0.0054433972974498,0.0125,3.684210526315789,16,120,158,0,Q4 (High)
BXP,2023,-0.0079538535515198,0.013078239473516,-0.0289859465765556,0.0106484172699889,3.615384615384616,13,127,149,1,Q4 (High)
BXP,2024,-0.0431315391881833,-0.050836023133607,-0.0354270552427596,0.0040638836179633,4.05,18,204,310,1,Q3
BXP,2025,-0.0023962961596778,0.018891366727253,-0.0236839590466086,0.0,4.153846153846154,12,94,142,1,Q4 (High)
CBL,2014,-0.052863736763474,-0.0380254805818422,-0.0677019929451059,0.002283105022831,2.5,6,60,219,0,Q2
CBL,2015,-0.0259562637076383,-0.028665547850536,-0.0232469795647406,0.0,2.6666666666666665,3,19,79,0,Q3
CBL,2016,-0.0425802128613642,-0.0004057997770355,-0.0847546259456929,0.0,3.25,8,48,82,0,Q3
CBL,2017,-0.0127006123634361,-0.0146362845078882,-0.010764940218984,0.0125757575757575,3.5,8,66,100,0,Q4 (High)
CBL,2018,-0.0676868226391712,-0.047440840237603,-0.0879328050407393,0.0,3.363636363636364,11,73,91,0,Q2
CBL,2019,-0.1176199773342105,-0.1565959970806159,-0.0786439575878052,0.006578947368421,3.8,5,76,100,0,Q1 (Low)
CBL,2020,-0.0231722377722732,-0.0548657167410285,0.0085212411964819,0.0,3.5,3,24,25,0,Q3
CBL,2021,-0.065863295409845,-0.0707509644958058,-0.0609756263238841,0.0,3.1666666666666665,6,39,61,0,Q2
CBL,2022,-0.034495918313032,-0.0506593344993877,-0.0183325021266763,0.0106382978723404,3.9166666666666665,11,94,134,0,Q3
CBL,2023,-0.0383572706846806,-0.0561576233894989,-0.0205569179798623,0.0,3.875,8,62,84,1,Q3
CBL,2024,-0.0292878969944278,-0.0684018335244055,0.0098260395355497,0.0,3.6666666666666665,8,71,41,1,Q3
CBL,2025,-0.0683216874197002,-0.0884040777310107,-0.0482392971083897,0.0018181818181818,4.25,4,275,28,1,Q2
CCI,2014,-0.1136750578185718,-0.1753936113583108,-0.0519565042788328,0.0,3.4545454545454546,11,251,388,0,Q1 (Low)
CCI,2015,-0.088840987221976,-0.1291709339262112,-0.0485110405177408,0.0022522522522522,3.3,10,222,311,0,Q1 (Low)
CCI,2016,-0.0730629297741664,-0.1076439860605039,-0.038481873487829,0.0046728971962616,2.9375,16,321,659,0,Q2
CCI,2017,-0.0575873452484121,-0.0728437027108988,-0.0423309877859254,0.0048701298701298,3.333333333333333,17,308,470,0,Q2
CCI,2018,-0.1030225935401085,-0.1533014024680387,-0.0527437846121784,0.0,3.15,20,441,762,0,Q1 (Low)
CCI,2019,-0.0939998774570592,-0.1278640472719409,-0.0601357076421775,0.0030918484090483,3.235294117647059,51,1239,2237,0,Q1 (Low)
CCI,2020,-0.117354813669405,-0.1497295048175519,-0.0849801225212581,0.0024300928988734,2.869565217391304,23,535,1003,0,Q1 (Low)
CCI,2021,-0.0832494711080468,-0.1174772397961667,-0.0490217024199269,0.005281690140845,2.4782608695652173,23,284,1285,0,Q1 (Low)
CCI,2022,-0.0751922206274544,-0.0770878776899795,-0.0732965635649293,0.000836820083682,2.6785714285714284,28,279,1195,0,Q2
CCI,2023,-0.0848069516646753,-0.0850045663863331,-0.0846093369430175,0.0022203334952242,3.3112582781456954,144,1136,2175,1,Q1 (Low)
CCI,2024,-0.0652676220220415,-0.0667198882116169,-0.0638153558324661,0.003199704263534,3.1619718309859155,137,1036,1645,1,Q2
CCI,2025,-0.0726558675202456,-0.078843064386796,-0.0664686706536952,0.0026393201503513,3.55,76,580,844,1,Q2
CDP,2016,-0.0785351529545955,-0.0294115229857164,-0.1276587829234746,0.0,4.0,4,31,58,0,Q1 (Low)
CDP,2017,-0.1356463123492636,-0.1599269149183514,-0.1113657097801757,0.0,3.75,4,69,26,0,Q1 (Low)
CDP,2018,-0.0580036766500289,-0.0623514407459351,-0.0536559125541227,0.0,2.333333333333333,3,25,219,0,Q2
CDP,2019,-0.0652803191968257,-0.1458129286518096,0.015252290258158,0.0,4.0,2,22,16,0,Q2
CDP,2020,-0.1748605379027074,-0.205049888760162,-0.1446711870452527,0.0,1.0,1,9,58,0,Q1 (Low)
CDP,2021,-0.0645985967831917,-0.0285337215800609,-0.1006634719863224,0.0,4.0,4,35,40,0,Q2
CDP,2022,-0.0083857216880863,-0.0057351910909865,-0.0110362522851861,0.0133333333333333,3.5454545454545454,10,75,112,0,Q4 (High)
CDP,2023,-0.0355670143969939,-0.027454732729219,-0.0436792960647687,0.0,2.4545454545454546,11,111,271,1,Q3
CDP,2025,-0.0267120882231014,-0.0230947075627421,-0.0303294688834607,0.0113636363636363,3.571428571428572,7,44,67,1,Q3
CLDT,2015,0.0664017838330427,0.0177438886234508,0.1150596790426346,0.125,2.0,1,5,4,0,Q4 (High)
CLDT,2019,-0.3664458584779851,-0.0089368677514555,-0.7239548492045147,0.0,3.0,1,16,2,0,Q1 (Low)
CLDT,2021,-0.1670570785303892,-0.2048154746735551,-0.1292986823872232,0.0,4.0,1,5,6,0,Q1 (Low)
COLD,2014,-0.0454177881681439,-0.0528944909519294,-0.0379410853843584,0.0053230469535103,2.435897435897436,39,355,911,0,Q2
COLD,2015,-0.0621809130920436,-0.0537322324598415,-0.0706295937242458,0.0007633587786259,2.859375,60,655,974,0,Q2
COLD,2016,-0.0561674291269096,-0.0571933027916659,-0.0551415554621532,0.0004284490145672,2.7794117647058822,65,749,1167,0,Q2
COLD,2017,-0.0615421639620744,-0.065209557214729,-0.0578747707094197,0.0038719472041177,2.388888888888889,66,599,938,0,Q2
COLD,2018,-0.052805665142602,-0.0762264110002382,-0.0293849192849658,0.0041967584546659,2.8461538461538463,51,411,567,0,Q2
COLD,2019,-0.036900507086071,-0.0370526536421108,-0.0367483605300313,0.0036363636363636,2.888888888888889,36,275,297,0,Q3
COLD,2020,-0.0485253053907838,-0.0625915694617411,-0.0344590413198266,0.0034843205574912,2.9814814814814814,53,287,477,0,Q2
COLD,2021,-0.0514303478548092,-0.0526725550082657,-0.0501881407013526,0.0042193336963895,3.1214285714285714,131,753,1112,0,Q2
COLD,2022,-0.0449781148272869,-0.0578899942818116,-0.0320662353727623,0.0036460465669118,3.132530120481928,157,1015,1492,0,Q2
COLD,2023,-0.0483694046592481,-0.060006631579208,-0.0367321777392883,0.0059376536904626,3.2058823529411766,130,979,1890,1,Q2
COLD,2024,-0.02481278608373,-0.0338162634447448,-0.0158093087227151,0.0083198818709112,3.1238938053097347,107,667,861,1,Q3
COLD,2025,-0.0502734309627057,-0.0512171370178354,-0.0493297249075759,0.0069086538461538,2.9450549450549453,86,832,1000,1,Q2
CPT,2014,-0.1078838061791016,-0.099177202064091,-0.1165904102941122,0.0044670146235952,3.5,18,306,417,0,Q1 (Low)
CPT,2015,-0.0965633238033835,-0.0953211341393155,-0.0978055134674516,0.0016361047107014,3.945945945945946,37,576,651,0,Q1 (Low)
CPT,2016,-0.1004663553150268,-0.1293764318184019,-0.0715562788116518,0.0022761760242792,3.7222222222222223,35,659,824,0,Q1 (Low)
CPT,2017,-0.1275628425858653,-0.1419622411108021,-0.1131634440609285,0.0018449289770093,3.7818181818181817,55,773,907,0,Q1 (Low)
CPT,2018,-0.0868616560907629,-0.1095639291191053,-0.0641593830624205,0.0036152507468979,4.059701492537314,67,1103,1131,0,Q1 (Low)
CPT,2019,-0.1149209426170765,-0.1421850622816122,-0.0876568229525409,0.0021044819837543,4.482352941176471,85,1707,1072,0,Q1 (Low)
CPT,2020,-0.1064642456073205,-0.1266630286182056,-0.0862654625964355,0.004890989774262,4.597222222222222,71,1420,730,0,Q1 (Low)
CPT,2021,-0.1155936291599025,-0.1397055184799974,-0.0914817398398076,0.0031930385790679,4.2993630573248405,156,2618,2112,0,Q1 (Low)
CPT,2022,-0.1301033154888053,-0.134898265521028,-0.1253083654565826,0.0015365160366167,4.12987012987013,76,843,1060,0,Q1 (Low)
CPT,2023,-0.1196856119902207,-0.1397194582293192,-0.0996517657511223,0.0043055898653401,4.384,125,1562,1358,1,Q1 (Low)
CPT,2024,-0.1160338255608335,-0.1197114975176665,-0.1123561536040004,0.0023257590533775,4.358974358974359,114,1709,1800,1,Q1 (Low)
CPT,2025,-0.1014078861214349,-0.1021611237729755,-0.1006546484698943,0.0035331415509263,4.375,64,937,1156,1,Q1 (Low)
CSR,2014,-0.0328248506637096,-0.038619769171096,-0.0270299321563232,0.0,2.0,1,10,45,0,Q3
CSR,2015,-0.1086406126917333,-0.1622452818920108,-0.0550359434914558,0.0,3.25,4,42,44,0,Q1 (Low)
CSR,2016,-0.0920522532070091,-0.0870855192851281,-0.0970189871288902,0.0,4.285714285714286,7,92,55,0,Q1 (Low)
CSR,2017,-0.1604484391132982,-0.1118935674474812,-0.2090033107791152,0.0,4.333333333333333,2,32,51,0,Q1 (Low)
