title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
Talented team and forward-thinking culture,5.0,2025-03-26,"I work with highly competent people who take pride in what they do. There’s a strong push to stay ahead of the technology curve, which keeps the work fresh and challenging. I’m consistently encouraged to develop new skills and explore innovative solutions—especially in the Microsoft ecosystem. Leadership is technically aware and open to modern approaches.","Inter-departmental communication could be stronger. Sometimes, alignment between teams takes longer than necessary and leads to duplicated efforts or unclear responsibilities. While the intention is good, some cross-team processes could be streamlined.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"I work with highly competent people who take pride in what they do. There’s a strong push to stay ahead of the technology curve, which keeps the work fresh and challenging. I’m consistently encouraged to develop new skills and explore innovative solutions—especially in the Microsoft ecosystem. Leadership is technically aware and open to modern approaches.",highli compet take pride strong push stay ahead technolog keep fresh consist encourag develop new skill explor innov solut especi microsoft leadership technic awar open modern,"Inter-departmental communication could be stronger. Sometimes, alignment between teams takes longer than necessary and leads to duplicated efforts or unclear responsibilities. While the intention is good, some cross-team processes could be streamlined.",inter department commun align team take longer necessari lead duplic effort unclear intent cross team process,Talented team and forward-thinking culture,talent team forward think cultur,0.32795849442481995,0.011801709420979023,0.6602398157119751,0.3161567747592926,neutral,1,0,0.038461538461538464
A job,3.0,2024-08-26,You get paid on time,The company is full of people who don't know how to do their jobs.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get paid on time,paid,The company is full of people who don't know how to do their jobs.,full know,A job,,0.08401534706354141,0.03662575036287308,0.8793588876724243,0.047389596700668335,neutral,0,0,0.0
A company to grow with,5.0,2024-09-13,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day","- the work ebbs and flows, some days do feel heavier.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day",colleagu realli feel second famili lot opportun learn grow within organ even year wealth knowledg prolog embrac chang innovatoin constantli adapt tri new thing other divers environ feel comfort voic opinion thought level know day promot life balanc pto summer encourag volunt prolog impact day,"- the work ebbs and flows, some days do feel heavier.",ebb day feel,A company to grow with,grow,0.18323028087615967,0.014915586449205875,0.801854133605957,0.16831469535827637,neutral,0,0,0.0
"Superb culture, inspiring leaders and great benefits",5.0,2024-08-28,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.","It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.",prolog cultur truli respect life encourag welcom question much day prolog made feel part offer competit salari great,"It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.",realli hard think con pick point first year meager complaint offic,"Superb culture, inspiring leaders and great benefits",superb inspir leader great benefit,0.12710344791412354,0.019638892263174057,0.8532576560974121,0.10746455192565918,neutral,0,0,0.0
Acquisitions and Development Analyst,5.0,2025-09-04,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",lot respons given team provid lot impact analyst first play signific role larg incred support cultur help learn open ask question incred rare find financ face role unbeliev exposur wide rang busi cusp innov commerci real estat ai real,- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,lot quarterli project analyst handl complet due larg public,Acquisitions and Development Analyst,acquisit develop analyst,0.11822439730167389,0.02404821664094925,0.8577273488044739,0.09417618066072464,neutral,0,0,0.0
Time Flies when you love what you do,5.0,2025-06-12,"It’s true—time flies when you enjoy what you’re doing. The work is meaningful, the team is supportive, and the culture is collaborative and inclusive. What makes it even more rewarding is the real impact we have on the communities we serve. Grateful to be part of something that matters.","Lean organization with limited career advancement opportunities, but offers strong learning experiences and personal growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"It’s true—time flies when you enjoy what you’re doing. The work is meaningful, the team is supportive, and the culture is collaborative and inclusive. What makes it even more rewarding is the real impact we have on the communities we serve. Grateful to be part of something that matters.",true fli enjoy team cultur collabor make even reward real impact commun grate part someth,"Lean organization with limited career advancement opportunities, but offers strong learning experiences and personal growth.",lean organ limit career advanc offer strong learn experi person,Time Flies when you love what you do,fli love,0.205216646194458,0.013800516724586487,0.7809828519821167,0.19141612946987152,neutral,0,0,0.0
Great Employer!!,4.0,2024-10-09,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,major work knowledg will alway someth new learn constant opportun develop,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,realli fast busi sometim move faster account adjust lack commun depart,Great Employer!!,great,0.3149544596672058,0.010868305340409279,0.6741772294044495,0.3040861487388611,neutral,0,0,0.0
Continuing excellence,5.0,2025-09-28,"The workplace community and colleagues is one Prologis' greatest strengths. Everyone is expected to work hard, but doing so with a team you value makes a big difference. Innovation is a constant - team members are encouraged and expected to try what has not been done before.",Prologis is not for employees looking for a static environment.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The workplace community and colleagues is one Prologis' greatest strengths. Everyone is expected to work hard, but doing so with a team you value makes a big difference. Innovation is a constant - team members are encouraged and expected to try what has not been done before.",workplac commun colleagu prolog greatest everyon expect team valu make big innov constant team member encourag expect tri done,Prologis is not for employees looking for a static environment.,prolog employe look static,Continuing excellence,continu excel,0.25423622131347656,0.0193102415651083,0.7264536023139954,0.2349259853363037,neutral,0,0,0.0
Horrible Place to Work,2.0,2025-08-26,They promote people fast if you are a part of their clique. Good work life balance if they like you.,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,They promote people fast if you are a part of their clique. Good work life balance if they like you.,promot fast part good life balanc,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in",worst experi blindsid poor perform given unhelp feedback made boss exclud spoke held grudg whenev made leadership encourag keep offer mentor lay six month vp incompet openli said horribl thing show favorit toward men leadership joke complet lack sure boss think good divers either accpet differ kind told fit,Horrible Place to Work,horribl place,0.07442789524793625,0.018795214593410492,0.9067768454551697,0.05563268065452576,neutral,0,0,0.0
Would give 6 stars if I could,5.0,2025-03-19,"- Smart, caring leaders - Interesting work - Fantastic culture","- So much to do, so little time - Meeting heavy","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Smart, caring leaders - Interesting work - Fantastic culture",care leader interest fantast cultur,"- So much to do, so little time - Meeting heavy",much littl meet heavi,Would give 6 stars if I could,give star,0.055258408188819885,0.01908513903617859,0.9256564378738403,0.036173269152641296,neutral,0,0,0.0
"Great culture, teams run lean, growth opportunities limited",5.0,2025-11-06,Great culture - collaborative and generally good people Team runs lean so you get do own more but means hard work and long hours (potentially),"Growth opportunities limited, some managers need work","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture - collaborative and generally good people Team runs lean so you get do own more but means hard work and long hours (potentially),great cultur collabor gener good team run lean mean hard long hour potenti,"Growth opportunities limited, some managers need work",growth opportun manag need,"Great culture, teams run lean, growth opportunities limited",great team run growth opportun limit,0.409868061542511,0.015145844779908657,0.5749861001968384,0.39472222328186035,neutral,0,0,0.0
One of the Best Companies I've Ever Worked For,5.0,2024-09-13,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.","I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.",cultur kind gener tri hard paus love region sub cultur make fun leadership vision genuin care head right newer depart still startup mode figur thing lot thing excit custom overal happi product servic prolog practic care esg reduc impact compar place look feel well compens part life balanc help lot vacat actual feel comfort take even day per year,"I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.",love see divers exec leadership role age fresh say improv even year dei newer group global challeng commun across better even smaller compani work still room improv,One of the Best Companies I've Ever Worked For,best compani ever work,0.1266566962003708,0.017010042443871498,0.8563332557678223,0.10964665561914444,neutral,0,0,0.0
Amazing Company *ACTUALLY* Focused on Culture,5.0,2025-07-29,"The perks of being a Prologis employee are the ability to work with people who enjoy their job. Not necessarily every detail, but on the whole, there are more people who enjoy coming to the office here, than any place I've ever worked.",We don't own enough properties that I cannot bring all of my favorite co-workers from other previous employers to join me here.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The perks of being a Prologis employee are the ability to work with people who enjoy their job. Not necessarily every detail, but on the whole, there are more people who enjoy coming to the office here, than any place I've ever worked.",perk prolog abil enjoy necessarili everi enjoy come offic place ever,We don't own enough properties that I cannot bring all of my favorite co-workers from other previous employers to join me here.,enough properti cannot bring favorit co worker previou employ join,Amazing Company *ACTUALLY* Focused on Culture,amaz actual focus cultur,0.28354018926620483,0.017378656193614006,0.6990811824798584,0.2661615312099457,neutral,0,0,0.0
"Great culture, secret gem",5.0,2024-09-16,"The people are truly, genuinely great. Leadership is open to criticism, willing to change. Big ambitions in sustainability / reducing carbon footprint at scale. Real goals around equal pay, diversity and inclusion. Proactive, hard-working people.",Very fast-paced company. Some parts of the business are still very old school (it's real estate). Technology needs an upgrade -- employees have way too many disconnected tools and platforms.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people are truly, genuinely great. Leadership is open to criticism, willing to change. Big ambitions in sustainability / reducing carbon footprint at scale. Real goals around equal pay, diversity and inclusion. Proactive, hard-working people.",genuin leadership open will big ambit sustain reduc carbon footprint real goal around equal divers hard,Very fast-paced company. Some parts of the business are still very old school (it's real estate). Technology needs an upgrade -- employees have way too many disconnected tools and platforms.,fast pace part busi still old school real estat technolog need upgrad employe way mani disconnect tool,"Great culture, secret gem",great secret gem,0.6311344504356384,0.012973926030099392,0.3558915853500366,0.6181605458259583,positive,0,0,0.0
Strong culture and teamwork,5.0,2025-09-22,Prologis’ strong culture makes me proud to work here and motivates me to bring my best every day. Teamwork is built on trust and open communication.,"There is opportunity to strengthen cross-functional collaboration and relationships,","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Prologis’ strong culture makes me proud to work here and motivates me to bring my best every day. Teamwork is built on trust and open communication.,prolog strong cultur make proud motiv bring best everi teamwork built trust open,"There is opportunity to strengthen cross-functional collaboration and relationships,",opportun strengthen cross function collabor,Strong culture and teamwork,strong cultur teamwork,0.6188383102416992,0.012097073718905449,0.369064599275589,0.6067412495613098,positive,1,0,0.07692307692307693
Great company,5.0,2025-09-17,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,outsiz global impact size innov keep employe energ leadership priorit commun highli focus nurtur strong,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.",sign time specif recogn sometim feel life balanc manag pay close attent ensur employe feel support manag workload fast excit,Great company,great,0.10897421091794968,0.01660686731338501,0.8744188547134399,0.09236734360456467,neutral,1,0,0.06666666666666667
"Amazing Company, Amazing Culture",5.0,2025-04-21,Ability to be creative and drive change. Upper management is open to ideas to make the company better & encourages such.,"Some of the work can be intense. The cycles can be tough. Like long nights & weekends. But this is typically short bursts and things always settle, and time off to recover is encouraged.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Ability to be creative and drive change. Upper management is open to ideas to make the company better & encourages such.,abil creativ drive upper manag open idea better encourag,"Some of the work can be intense. The cycles can be tough. Like long nights & weekends. But this is typically short bursts and things always settle, and time off to recover is encouraged.",cycl long night typic short burst thing alway recov,"Amazing Company, Amazing Culture",amaz amaz cultur,0.44408828020095825,0.012473407201468945,0.5434383153915405,0.43161487579345703,neutral,0,0,0.0
People-First Company with a Genuine Culture,5.0,2025-05-23,"Well rounded benefits package, generous PTO, and other employee perks that support overall well-being. Strong leadership – executives are approachable, communicative, and genuinely invested in employee success. Friendly, collaborative employees – coworkers are supportive and foster a team-oriented environment.","Work can be fast-paced and occasionally stressful, especially during peak periods or when juggling multiple priorities.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Well rounded benefits package, generous PTO, and other employee perks that support overall well-being. Strong leadership – executives are approachable, communicative, and genuinely invested in employee success. Friendly, collaborative employees – coworkers are supportive and foster a team-oriented environment.",well round benefit gener perk support overal well strong leadership execut genuin invest collabor employe cowork support foster team orient,"Work can be fast-paced and occasionally stressful, especially during peak periods or when juggling multiple priorities.",fast pace occasion especi peak period juggl multipl,People-First Company with a Genuine Culture,first genuin cultur,0.7548725008964539,0.008813279680907726,0.23631420731544495,0.746059238910675,positive,2,0,0.1
